Page Number,"Part of Speech, Declension, Gender, etc.",Latin,English,Special
82,"adj, 3","nōbilis, e","noble, renowned",
82,"adj, 3","omnis, e","all, every",
85,"adj, 1+2","cupidus, a, um","eager, desirous",w. gen.
85,"adj, 1+2","fīnitimus, a, um","neighboring, next",w. dat.
85,"adj, 1+2","plēnus, a, um",full,w. gen. or abl.
85,"adj, 3","similis, e","like, similar",w. gen. or dat.
87,"n, 3","eques, equitis",horseman,pl. cavalry
87,conj,et...et,both...and,
87,n,"Jēsūs, ū",Jesus,
87,"n, 3, m","pōns, pontis",bridge,
87,,prīma lūce,at dawn,
87,"n, 2, n","signum, ī","standard, signal, sign",
87,"n, 3","urbs, urbis",city,
103,"v, 1, tr",laudō,praise,
103,"v, 1, tr",occupō,seize,
103,"v, 1, tr",oppugnō,"attack, assult",
103,"v, 1, tr",ōrō,"beg, pray",
103,"v, 1, tr",parō,"prepare, get ready",
109,"n, 3","centuriō, centuriōnis",a centurion,
109,"n, 2","numerus, ī",number,
109,"v, 1, tr",portō,carry,
109,"v, 1, intr",pugnō,fight,
109,"v, 1, tr",superō,"overcome, conquer, surpass",
112,"v, 1, tr","dō, dare, dedī, datus",give,
112,"n, 2","hīberna, hībernōrum",winter quarters,"used in plural, but with singular meaning"
112,adv,interim,meanwhile,
112,"n, 3","mors, mortis",death,
112,"v, 1, tr",vocō,call,
114,adj,"aliēnus, a, um","unfavorable, another's, foreign",
114,adv,cūr,why?,
114,"n, 2","locus, ī",place,"plural, loca, locōrum"
114,pro,quid,what?,
114,pro,quis,who?,
114,adv,ubi,where?,
117,,-ne,,particle used in questions
117,,in saecula saeculōrum,"world without end, forever",
117,"n, 3","ōrātiō, ōrātiōnis","speech, prayer",
117,adv,semper,always,
117,conj,sīcut,as,
119,"n, 1","America, ae",America,
119,adj,"Americānus, a, um",American,
119,v,fēcit,he/she/it made,
119,v,monuit,he/she/it advised,
119,adj,"suus, a, um",his,
120,"n, 2, n","arma, armōrum",arms,plural
120,"v, 2, tr",habeō,have,
120,"v, 2, tr",moneō,"warn, advise",
120,"v, 2, tr",terreō,terrify,
120,"v, 2, tr","timeō, timēre, timuī",fear,
125,pro,"ego, meī","I, of me",
125,pro,"nōs, nostrī","we, of us",
125,"v, 2, tr","videō, vidēre, vīdī, vīsus",see,
125,adv,saepe,often,
128,pro,"tū, tuī","you, of you",singular
128,pro,"vōs, vestrī","y'all, of y'all",plural
128,"v, 2, tr","teneo, tenere, tenui, tentus",hold,
128,adv,tamen,nevertheless,
128,conj,neque,"nor, and...not",
128,"v, 2, tr.","moveō, movēre, mōvī, mōtus",move,
129,prep,sī,if,
129,"adj, 1+2","vērus, a, um",true,
133,pro,"is, ea, id","he, she, it",
133,"v, 2, tr","sustineō, sustinēre, sustinī, sustentus","sustain, withstand",
133,"n, 3, m","finēs, fīnium",territory,
135,"n, 1","āla, ae",wing,
137,pro,suī,"himself, herself, itself, themselves",
137,adv,etiam,also,
137,conj,enim,for,postposetive
138,"n, 3","ōrātor, ōrātōris",an orator,
138,prep,dē,concerning,with ablative
140,"v, 3, tr","dūcō, dūcere, dūxī, ductus","lead, guide",
140,"v, 3, tr","gerō, gerere, gessī, gestus","carry, carry on, wage (with bellum)",
